Id,Coordinates,Stop Sign,Yield,Pcross,Number of lanes,Parking,Max Speed
1,"{(32.073022293997525, 34.77585141307725), (32.07300865702329, 34.775882929031724), (32.07351320228871, 34.77615241653425), (32.07349729257065, 34.776182591384284)}",0,0,"(0,0)",1,0,50
2,"{(32.07320856566603, 34.775412595649726),(32.07318811024558, 34.7753971729486),(32.07302048926671, 34.77585180735568),(32.072997760974744, 34.775835714102335)}",0,0,"(0,1)",1,1,50
3,"{(32.07300865702329, 34.775882929031724),(32.07298236659244, 34.77586664742901),(32.0728529148951, 34.776257146530796),(32.07282961835306, 34.77623300665078),(32.072806321805075, 34.77628530972416),(32.072798935093495, 34.77625044100857),(32.07274836451359, 34.77629402690305),(32.07275006914035, 34.776257146530796),(32.072719385854086, 34.7762866508286),(32.072726204363036, 34.77625245266524),(32.07177014177212, 34.77586667356617),(32.071783919008006, 34.77582927888141)}",0,1,"(1,0)",1,0,50
4,"{(32.07199570705623, 34.77516334340594),(32.071977483107474, 34.77521232972175),(32.072997760974744, 34.775835714102335),(32.07298236659244, 34.77586664742901)}",0,0,"(1,1)",1,0,50
5,"{(32.072436193500856, 34.77425499293783),(32.07240305360601, 34.774208641806595),(32.07223367173375, 34.77459248711208),(32.072193167326496, 34.77456062070936),(32.07199570705623, 34.77516334340594),(32.07195505014535, 34.775134215958325)}",1,0,"(1,1)",1,0,50
6,"{(32.071977483107474, 34.77521232972175),(32.07194162934432, 34.77518470940088),(32.071783919008006, 34.77582927888141),(32.071750107835804, 34.77581203470584)}",0,0,"(1,0)",1,0,50
7,"{(32.07177014177212, 34.77586667356617),(32.071741568514256, 34.775852484123604),(32.07153487651756, 34.77655239591989),(32.07150249992172, 34.77654264078474)}",1,0,"(0,1)",1,0,50
8,"{(32.07199931430021, 34.77676978484087),(32.07201450092079, 34.77672199331325),(32.07152751536446, 34.776597735341454),(32.07153487651756, 34.77655239591989)}",0,0,"(0,1)",1,0,50
9,"{(32.0730305646692, 34.777057818335024),(32.07305054138523, 34.77702286243405),(32.072038741054335, 34.77677492723958),(32.072046696040616, 34.77674072907622)}",0,0,"(0,0)",1,0,50
10,"{(32.071784961135705, 34.77747929276649),(32.07181280366193, 34.77749002160206),(32.07199931430021, 34.77676978484087),(32.072038741054335, 34.77677492723958)}",0,1,"(0,1)",1,0,50
11,"{(32.07181280366193, 34.77749002160206),(32.071804538877004, 34.777519961308485),(32.07257920011382, 34.77769079654667),(32.07257408622394, 34.77772164194892),(32.07267409112979, 34.777735723545604),(32.07266102231307, 34.77776321618674)}",0,0,"(1,0)",1,0,50
12,"{(32.071596666082414, 34.77819762651525),(32.07162564509774, 34.77820701424637),(32.07177584552065, 34.77751092134244),(32.071804538877004, 34.777519961308485)}",0,0,"(1,0)",1,0,50
